weight;word;color;url
1;Developer;;
4;Algorithm;;
4;API;;
10;Architecture;;
3;Code;;
10;Compiler;;
10;Debugging;;
10;DevOps;;
8;Framework;;
9;Git;;
10;HTML;;
7;JavaScript;;
5;JSON;;
8;Language;;
9;Library;;
10;Middleware;;
7;Modeling;;
5;Object-Oriented;;
6;Package;;
8;Refactoring;;
9;Repository;;
10;Script;;
7;SQL;;
5;Testing;;
6;Unit Testing;;
8;Version Control;;
9;Web;;
10;IDE;;
7;Container;;
5;Microservices;;
6;Serverless;;
1;Front-end;;
1;Back-end;;
10;Algorithm;;
7;CI/CD;;
5;Code Style;;
6;MVC;;
8;RESTful;;
9;SOAP;;
7;Database;;
5;Encryption;;
6;REST API;;
8;Middleware;;
9;Software Architecture;;
10;Design Patterns;;
7;Load Testing;;
5;Refactoring;;
6;Version Control;;
8;GitHub;;
9;GitLab;;
7;Dependency Management;;
5;Docker Container;;
6;Kubernetes;;
8;Server;;
9;Cloud Computing;;
10;SaaS;;
7;PaaS;;
5;IaaS;;
6;DevSecOps;;
8;Continuous Integration;;
9;Continuous Delivery;;
10;Build Automation;;
7;Pipeline;;
5;Scrum;;
6;Agile;;
8;Kanban;;
9;Story;;
10;Sprint;;
7;JIRA;;
5;Trello;;
6;User Stories;;
9;Prototype;;
10;UML;;
7;Token;;
5;Session;;
9;Scalability;;
10;Performance;;
7;Code Review;;
5;Pair Programming;;
6;Deployment;;
8;Environment;;
9;Sandbox;;
5;Configuration Management;;
6;Monitoring;;
9;Refactoring;;
8;Dependency Injection;;
9;ORM;;
10;REST;;
5;Dependency;;
6;Endpoint;;